84 / 100 (7539): -6.92, -33.04, 54.36, -24.41, -4.35, 52.01, 47.83, -16.02, -3.50, 5.44
85 / 100 (7496): -50.43, 10.53, 43.20, -50.76, -24.08, -0.07, 12.49, -43.13, -11.68, 13.07
92 / 100 (7681): -56.50, -7.47, 48.14, -33.33, -19.24, 18.17, 8.49, -43.32, -8.55, 24.53
97 / 100 (7878): -55.77, 2.41, 54.44, -38.62, -12.45, 5.45, 5.34, -27.64, 22.56, 30.70
84 / 100 (7443): -11.06, -8.11, 55.89, -43.65, -12.14, 39.99, 39.36, -30.85, 8.51, 21.52
92 / 100 (7762): -67.11, -33.24, 24.42, -17.37, -0.03, 26.04, -15.78, -20.64, 36.35, 28.62
88 / 100 (7504): -88.99, -10.16, 32.04, -20.49, -5.58, 12.61, 0.86, -5.25, 10.46, 14.27
81 / 100 (7276): -41.89, 4.02, 61.46, -49.01, -12.67, 27.64, 10.60, -24.04, 10.26, 18.14
84 / 100 (7373): -40.59, -25.54, 56.96, -46.73, -12.32, 32.47, 11.73, -22.73, -8.70, 18.32
85 / 100 (7526): -60.26, -11.31, 26.07, -42.90, -8.89, 29.28, -15.59, -1.07, 38.70, 32.29
93 / 100 (7808): -39.70, -5.25, 33.83, -23.42, -13.52, 9.94, 5.96, -74.75, -6.00, 27.61
92 / 100 (7638): -38.55, 4.74, 30.47, -78.32, -20.47, 12.61, 0.15, -18.22, -5.69, 22.08
97 / 100 (7894): -59.40, -24.87, 28.48, -57.31, -15.35, 32.84, 14.69, -9.19, 0.24, 11.96
87 / 100 (7510): -40.05, -8.81, 46.60, -65.35, -18.19, 31.02, 7.89, -16.04, -1.96, 16.13
84 / 100 (7654): 16.26, -39.50, 24.30, -45.70, 7.72, 39.42, 50.64, -27.98, -17.04, 15.66
94 / 100 (7778): -54.27, -24.99, 40.64, -39.62, -13.79, 15.53, 16.94, -35.93, 18.05, 29.57
87 / 100 (7612): -75.91, 2.68, 21.26, -39.11, -21.28, 16.78, 2.13, -17.61, 15.58, 30.94
98 / 100 (7924): -61.94, -10.09, 48.12, -41.03, -12.66, 14.50, 14.69, -30.08, 0.57, 23.90
